id	new_id	new_species	new_genus	new_family
Clostridium_sensu_stricto_7 thermobutyricum	Clostridium thermobutyricum	Clostridium thermobutyricum	Clostridium	Clostridiaceae
Clostridium sensu stricto 9 magnum	Clostridium magnum	Clostridium magnum	Clostridium	Clostridiaceae
Clostridium_sensu_stricto_9 magnum	Clostridium magnum	Clostridium magnum	Clostridium	Clostridiaceae
Coprococcus 1 catus	Coprococcus catus	Coprococcus catus	Coprococcus	Lachnospiraceae
Coprococcus_1 catus	Coprococcus catus	Coprococcus catus	Coprococcus	Lachnospiraceae
Coprococcus 2 eutactus	Coprococcus eutactus	Coprococcus eutactus	Coprococcus	Lachnospiraceae
Coprococcus_2 eutactus	Coprococcus eutactus	Coprococcus eutactus	Coprococcus	Lachnospiraceae
Coprococcus 3 comes	Coprococcus comes	Coprococcus comes	Coprococcus	Lachnospiraceae
Coprococcus_3 comes	Coprococcus comes	Coprococcus comes	Coprococcus	Lachnospiraceae
Corynebacterium 1 accolens	Corynebacterium accolens	Corynebacterium accolens	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 accolens	Corynebacterium accolens	Corynebacterium accolens	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 amycolatum	Corynebacterium amycolatum	Corynebacterium amycolatum	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 amycolatum	Corynebacterium amycolatum	Corynebacterium amycolatum	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 appendicis	Corynebacterium appendicis	Corynebacterium appendicis	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 appendicis	Corynebacterium appendicis	Corynebacterium appendicis	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 aurimucosum	Corynebacterium aurimucosum	Corynebacterium casei	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 aurimucosum	Corynebacterium aurimucosum	Corynebacterium casei	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 bovis	Corynebacterium bovis	Corynebacterium bovis	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 bovis	Corynebacterium bovis	Corynebacterium bovis	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 callunae	Corynebacterium callunae	Corynebacterium callunae	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 callunae	Corynebacterium callunae	Corynebacterium callunae	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 camporealensis	Corynebacterium camporealensis	Corynebacterium camporealensis	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 camporealensis	Corynebacterium camporealensis	Corynebacterium camporealensis	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 casei	Corynebacterium casei	Corynebacterium casei	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 casei	Corynebacterium casei	Corynebacterium casei	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 coyleae	Corynebacterium coyleae	Corynebacterium coyleae	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 coyleae	Corynebacterium coyleae	Corynebacterium coyleae	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 doosanense	Corynebacterium doosanense	Corynebacterium casei	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 doosanense	Corynebacterium doosanense	Corynebacterium casei	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 efficiens	Corynebacterium efficiens	Corynebacterium efficiens	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 efficiens	Corynebacterium efficiens	Corynebacterium efficiens	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 faecale	Corynebacterium faecale	Corynebacterium faecale	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 faecale	Corynebacterium faecale	Corynebacterium faecale	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 falsenii	Corynebacterium falsenii	Corynebacterium falsenii	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 falsenii	Corynebacterium falsenii	Corynebacterium falsenii	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 flavescens	Corynebacterium flavescens	Corynebacterium flavescens	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 flavescens	Corynebacterium flavescens	Corynebacterium flavescens	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 genitalium	Corynebacterium genitalium	Corynebacterium genitalium	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 genitalium	Corynebacterium genitalium	Corynebacterium genitalium	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 glaucum	Corynebacterium glaucum	Corynebacterium glaucum	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 glaucum	Corynebacterium glaucum	Corynebacterium glaucum	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 glutamicum	Corynebacterium glutamicum	Corynebacterium glutamicum	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 glutamicum	Corynebacterium glutamicum	Corynebacterium glutamicum	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 imitans	Corynebacterium imitans	Corynebacterium imitans	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 imitans	Corynebacterium imitans	Corynebacterium imitans	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 jeddahense	Corynebacterium jeddahense	Corynebacterium jeddahense	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 jeddahense	Corynebacterium jeddahense	Corynebacterium jeddahense	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 jeikeium	Corynebacterium jeikeium	Corynebacterium jeikeium	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 jeikeium	Corynebacterium jeikeium	Corynebacterium jeikeium	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 kroppenstedtii	Corynebacterium kroppenstedtii	Corynebacterium kroppenstedtii	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 kroppenstedtii	Corynebacterium kroppenstedtii	Corynebacterium kroppenstedtii	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 lactis	Corynebacterium lactis	Corynebacterium lactis	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 lactis	Corynebacterium lactis	Corynebacterium lactis	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 lipophiloflavum	Corynebacterium lipophiloflavum	Corynebacterium lipophiloflavum	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 lipophiloflavum	Corynebacterium lipophiloflavum	Corynebacterium lipophiloflavum	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 lubricantis	Corynebacterium lubricantis	Corynebacterium lubricantis	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 lubricantis	Corynebacterium lubricantis	Corynebacterium lubricantis	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 marinum	Corynebacterium marinum	Corynebacterium marinum	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 marinum	Corynebacterium marinum	Corynebacterium marinum	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 maris	Corynebacterium maris	Corynebacterium maris	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 maris	Corynebacterium maris	Corynebacterium maris	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 massiliense	Corynebacterium massiliense	Corynebacterium massiliense	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 massiliense	Corynebacterium massiliense	Corynebacterium massiliense	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 mucifaciens	Corynebacterium mucifaciens	Corynebacterium mucifaciens	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 mucifaciens	Corynebacterium mucifaciens	Corynebacterium mucifaciens	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 pilbarense	Corynebacterium pilbarense	Corynebacterium pilbarense	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 pilbarense	Corynebacterium pilbarense	Corynebacterium pilbarense	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 pilosum	Corynebacterium pilosum	Corynebacterium pilosum	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 pilosum	Corynebacterium pilosum	Corynebacterium pilosum	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 provencense	Corynebacterium provencense	Corynebacterium provencense	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 provencense	Corynebacterium provencense	Corynebacterium provencense	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 riegelii	Corynebacterium riegelii	Corynebacterium riegelii	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 riegelii	Corynebacterium riegelii	Corynebacterium riegelii	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 segmentosum	Corynebacterium segmentosum	Corynebacterium segmentosum	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 segmentosum	Corynebacterium segmentosum	Corynebacterium segmentosum	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 simulans	Corynebacterium simulans	Corynebacterium simulans	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 simulans	Corynebacterium simulans	Corynebacterium simulans	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 sputi	Corynebacterium sputi	Corynebacterium sputi	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 sputi	Corynebacterium sputi	Corynebacterium sputi	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 stationis	Corynebacterium stationis	Corynebacterium stationis	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 stationis	Corynebacterium stationis	Corynebacterium stationis	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 suicordis	Corynebacterium suicordis	Corynebacterium suicordis	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 suicordis	Corynebacterium suicordis	Corynebacterium suicordis	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 tuberculostearicum	Corynebacterium tuberculostearicum	Corynebacterium tuberculostearicum	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 tuberculostearicum	Corynebacterium tuberculostearicum	Corynebacterium tuberculostearicum	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 urealyticum	Corynebacterium urealyticum	Corynebacterium urealyticum	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 urealyticum	Corynebacterium urealyticum	Corynebacterium urealyticum	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 urinapleomorphum	Corynebacterium urinapleomorphum	Corynebacterium urinapleomorphum	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 urinapleomorphum	Corynebacterium urinapleomorphum	Corynebacterium urinapleomorphum	Corynebacterium	Corynebacteriaceae
Corynebacterium 1 variabile	Corynebacterium variabile	Corynebacterium variabile	Corynebacterium	Corynebacteriaceae
Corynebacterium_1 variabile	Corynebacterium variabile	Corynebacterium variabile	Corynebacterium	Corynebacteriaceae
Escherichia/Shigella coli	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae
Escherichia/Shigella coli	Escherichia coli	Escherichia coli	Escherichia	Enterobacteriaceae
Escherichia/Shigella dysenteriae	Shigella dysenteriae	Shigella dysenteriae	Shigella	Enterobacteriaceae
Escherichia/Shigella dysenteriae	Shigella dysenteriae	Shigella dysenteriae	Shigella	Enterobacteriaceae
Escherichia/Shigella flexneri	Shigella flexneri	Shigella flexneri	Shigella	Enterobacteriaceae
Escherichia/Shigella flexneri	Shigella flexneri	Shigella flexneri	Shigella	Enterobacteriaceae
Escherichia/Shigella sonnei	Shigella sonnei	Shigella sonnei	Shigella	Enterobacteriaceae
Escherichia/Shigella sonnei	Shigella sonnei	Shigella sonnei	Shigella	Enterobacteriaceae
Polaribacter 1 irgensii	Polaribacter irgensii	Polaribacter irgensii	Polaribacter	Flavobacteriaceae
Polaribacter_1 irgensii	Polaribacter irgensii	Polaribacter irgensii	Polaribacter	Flavobacteriaceae
Polaribacter 4 haliotis	Polaribacter haliotis	Polaribacter haliotis	Polaribacter	Flavobacteriaceae
Polaribacter_4 haliotis	Polaribacter haliotis	Polaribacter haliotis	Polaribacter	Flavobacteriaceae
Prevotella 1 ruminicola	Prevotella ruminicola	Prevotella ruminicola	Prevotella	Prevotellaceae
Prevotella_1 ruminicola	Prevotella ruminicola	Prevotella ruminicola	Prevotella	Prevotellaceae
Prevotella 2 loescheii	Prevotella loescheii	Prevotella loescheii	Prevotella	Prevotellaceae
Prevotella_2 loescheii	Prevotella loescheii	Prevotella loescheii	Prevotella	Prevotellaceae
Prevotella 2 saccharolytica	Prevotella saccharolytica	Prevotella saccharolytica	Prevotella	Prevotellaceae
Prevotella_2 saccharolytica	Prevotella saccharolytica	Prevotella saccharolytica	Prevotella	Prevotellaceae
Prevotella 2 shahii	Prevotella shahii	Prevotella shahii	Prevotella	Prevotellaceae
Prevotella_2 shahii	Prevotella shahii	Prevotella shahii	Prevotella	Prevotellaceae
Prevotella 6 colorans	Prevotella colorans	Prevotella colorans	Prevotella	Prevotellaceae
Prevotella_6 colorans	Prevotella colorans	Prevotella colorans	Prevotella	Prevotellaceae
Prevotella 6 corporis	Prevotella corporis	Prevotella corporis	Prevotella	Prevotellaceae
Prevotella_6 corporis	Prevotella corporis	Prevotella corporis	Prevotella	Prevotellaceae
Prevotella 6 salivae	Prevotella salivae	Prevotella salivae	Prevotella	Prevotellaceae
Prevotella_6 salivae	Prevotella salivae	Prevotella salivae	Prevotella	Prevotellaceae
Prevotella 7 baroniae	Prevotella baroniae	Prevotella baroniae	Prevotella	Prevotellaceae
Prevotella_7 baroniae	Prevotella baroniae	Prevotella baroniae	Prevotella	Prevotellaceae
Prevotella 7 buccae	Prevotella buccae	Prevotella buccae	Prevotella	Prevotellaceae
Prevotella_7 buccae	Prevotella buccae	Prevotella buccae	Prevotella	Prevotellaceae
Prevotella_7 corporis	Prevotella corporis	Prevotella corporis	Prevotella	Prevotellaceae
Prevotella 7 corporis	Prevotella corporis	Prevotella corporis	Prevotella	Prevotellaceae
Prevotella 7 dentalis	Prevotella dentalis	Prevotella dentalis	Prevotella	Prevotellaceae
Prevotella_7 dentalis	Prevotella dentalis	Prevotella dentalis	Prevotella	Prevotellaceae
Prevotella 7 denticola	Prevotella denticola	Prevotella denticola	Prevotella	Prevotellaceae
Prevotella_7 denticola	Prevotella denticola	Prevotella denticola	Prevotella	Prevotellaceae
Prevotella 7 histicola	Prevotella histicola	Prevotella histicola	Prevotella	Prevotellaceae
Prevotella_7 histicola	Prevotella histicola	Prevotella histicola	Prevotella	Prevotellaceae
Prevotella 7 melaninogenica	Prevotella melaninogenica	Prevotella melaninogenica	Prevotella	Prevotellaceae
Prevotella_7 melaninogenica	Prevotella melaninogenica	Prevotella melaninogenica	Prevotella	Prevotellaceae
Prevotella_7 multiformis	Prevotella multiformis	Prevotella multiformis	Prevotella	Prevotellaceae
Prevotella 7 multiformis	Prevotella multiformis	Prevotella multiformis	Prevotella	Prevotellaceae
Prevotella 7 multisaccharivorax	Prevotella multisaccharivorax	Prevotella multisaccharivorax	Prevotella	Prevotellaceae
Prevotella_7 multisaccharivorax	Prevotella multisaccharivorax	Prevotella multisaccharivorax	Prevotella	Prevotellaceae
Prevotella 7 pleuritidis	Prevotella pleuritidis	Prevotella pleuritidis	Prevotella	Prevotellaceae
Prevotella_7 pleuritidis	Prevotella pleuritidis	Prevotella pleuritidis	Prevotella	Prevotellaceae
Prevotella_7 ruminicola	Prevotella ruminicola	Prevotella ruminicola	Prevotella	Prevotellaceae
Prevotella 7 ruminicola	Prevotella ruminicola	Prevotella ruminicola	Prevotella	Prevotellaceae
Prevotella 7 salivae	Prevotella salivae	Prevotella salivae	Prevotella	Prevotellaceae
Prevotella_7 salivae	Prevotella salivae	Prevotella salivae	Prevotella	Prevotellaceae
Prevotella 7 veroralis	Prevotella veroralis	Prevotella veroralis	Prevotella	Prevotellaceae
Prevotella_7 veroralis	Prevotella veroralis	Prevotella veroralis	Prevotella	Prevotellaceae
Prevotella 9 copri	Prevotella copri	Prevotella copri	Prevotella	Prevotellaceae
Prevotella_9 copri	Prevotella copri	Prevotella copri	Prevotella	Prevotellaceae
Prevotella 9 paludivivens	Prevotella paludivivens	Prevotella paludivivens	Prevotella	Prevotellaceae
Prevotella_9 paludivivens	Prevotella paludivivens	Prevotella paludivivens	Prevotella	Prevotellaceae
Ruminococcus 1 albus	Ruminococcus albus	Ruminococcus albus	Ruminococcus	Ruminococcaceae
Ruminococcus_1 albus	Ruminococcus albus	Ruminococcus albus	Ruminococcus	Ruminococcaceae
Ruminococcus 1 bicirculans	Ruminococcus bicirculans	Ruminococcus bicirculans	Ruminococcus	Ruminococcaceae
Ruminococcus_1 bicirculans	Ruminococcus bicirculans	Ruminococcus bicirculans	Ruminococcus	Ruminococcaceae
Ruminococcus 2 bromii	Ruminococcus bromii	Ruminococcus bromii	Ruminococcus	Ruminococcaceae
Ruminococcus_2 bromii	Ruminococcus bromii	Ruminococcus bromii	Ruminococcus	Ruminococcaceae
Selenomonas 1 ruminantium	Selenomonas ruminantium	Selenomonas ruminantium	Selenomonas	Selenomonadaceae
Selenomonas_1 ruminantium	Selenomonas ruminantium	Selenomonas ruminantium	Selenomonas	Selenomonadaceae
Selenomonas 3 infelix	Selenomonas infelix	Selenomonas infelix	Selenomonas	Selenomonadaceae
Selenomonas_3 infelix	Selenomonas infelix	Selenomonas infelix	Selenomonas	Selenomonadaceae
Selenomonas 3 noxia	Selenomonas noxia	Selenomonas noxia	Selenomonas	Selenomonadaceae
Selenomonas_3 noxia	Selenomonas noxia	Selenomonas noxia	Selenomonas	Selenomonadaceae
Spirochaeta 2 africana	Spirochaeta africana	Spirochaeta africana	Spirochaeta	Spirochaetaceae
Spirochaeta_2 africana	Spirochaeta africana	Spirochaeta africana	Spirochaeta	Spirochaetaceae
Spirochaeta 2 aurantia	Spirochaeta aurantia	Spirochaeta aurantia	Spirochaeta	Spirochaetaceae
