s_label	Genus	Species	subspecies	Strain	Accn_n	gss_label	lifestyle	Fermentation_type	which_sequence	seq_abbr	group_16S	group_color	outgroup
Companilactobacillus_salsicarnum	Companilactobacillus	salsicarnum	NA	TMW_1.2098	MK968446	Companilactobacillus salsicarnum	Unknown	HO	LPSN	Compan_sal_TMW_1.2098	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_suantsaicola	Companilactobacillus	suantsaicola	NA	R7	MH810311	Companilactobacillus suantsaicola	Unknown	HO	LPSN	Compan_sua_R7	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_tucceti	Companilactobacillus	tucceti	NA	CECT_5920	AJ576006	Companilactobacillus tucceti	Unknown	HO	LPSN	Compan_tuc_CECT_5920	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_versmoldensis	Companilactobacillus	versmoldensis	NA	NCCB_100034	AF502292	Companilactobacillus versmoldensis	Unknown	HO	refseq	Compan_ver_NCCB_100034	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_zhachilii	Companilactobacillus	zhachilii	NA	HBUAS52074	MH392835	Companilactobacillus zhachilii	Unknown	HO	LPSN	Compan_zha_HBUAS52074	1	#330000	Lapidi_con_JCM_14153
Companilactobacillus_zhongbaensis	Companilactobacillus	zhongbaensis	NA	M1575	MK110832	Companilactobacillus zhongbaensis	Unknown	HO	LPSN	Compan_zho_M1575	1	#330000	Lapidi_con_JCM_14153
Convivina_intestini	Convivina	intestini	NA	LMG_28291	LK054488	Convivina intestini	NA	HE	LPSN	Conviv_int_LMG_28291	12	#5a3ea5	Periwe_gha_LMG_24286
Dellaglioa_algida	Dellaglioa	algida	NA	JCM_10491	AB289022	Dellaglioa algida	Unknown	HO	refseq	Dellag_alg_JCM_10491	10	#120033	Lactob_del_bul_DSM20081(T)
Fructilactobacillus_florum	Fructilactobacillus	florum	NA	F9-1	AB498045	Fructilactobacillus florum	Insect	HE	LPSN	Fructi_flo_F9-1	4	#FDD0A2	Lactip_pla_pla_DSMZ_20174
Fructilactobacillus_fructivorans	Fructilactobacillus	fructivorans	NA	ATCC_8288	AF429507	Fructilactobacillus fructivorans	Insect	HE	refseq	Fructi_fru_ATCC_8288	4	#FDD0A2	Lactip_pla_pla_DSMZ_20174
Fructilactobacillus_ixorae	Fructilactobacillus	ixorae	NA	PCU_346	MT758158	Fructilactobacillus ixorae	Insect	HE	LPSN	Fructi_ixo_PCU_346	4	#FDD0A2	Lactip_pla_pla_DSMZ_20174
Fructilactobacillus_lindneri	Fructilactobacillus	lindneri	NA	JCM_11027	AB289191	Fructilactobacillus lindneri	Insect	HE	refseq	Fructi_lin_JCM_11027	4	#FDD0A2	Lactip_pla_pla_DSMZ_20174
Fructilactobacillus_sanfranciscensis	Fructilactobacillus	sanfranciscensis	NA	JCM_5668	AB289297	Fructilactobacillus sanfranciscensis	Insect	HE	refseq	Fructi_san_JCM_5668	4	#FDD0A2	Lactip_pla_pla_DSMZ_20174
Fructilactobacillus_vespulae	Fructilactobacillus	vespulae	NA	DCY_75	JX863367	Fructilactobacillus vespulae	Insect	HE	LPSN	Fructi_ves_DCY_75	4	#FDD0A2	Lactip_pla_pla_DSMZ_20174
Fructobacillus_broussonetiae	Fructobacillus	broussonetiae	NA	M2-14	MT026984	Fructobacillus broussonetiae	NA	HE	LPSN	Fructo_bro_M2-14	12	#024e5b	Periwe_gha_LMG_24286
Fructobacillus_durionis	Fructobacillus	durionis	NA	LMG_22556	AJ780981	Fructobacillus durionis	NA	HE	LPSN	Fructo_dur_LMG_22556	12	#024e5b	Periwe_gha_LMG_24286
Fructobacillus_ficulneus	Fructobacillus	ficulneus	NA	FS-1	AF360736	Fructobacillus ficulneus	NA	HE	LPSN	Fructo_fic_FS-1	12	#024e5b	Periwe_gha_LMG_24286
Fructobacillus_fructosus	Fructobacillus	fructosus	NA	NBRC_3516	AB680098	Fructobacillus fructosus	NA	HE	LPSN	Fructo_fru_NBRC_3516	12	#024e5b	Periwe_gha_LMG_24286
Fructobacillus_papyriferae	Fructobacillus	papyriferae	NA	M1-10	MT026981	Fructobacillus papyriferae	NA	HE	LPSN	Fructo_pap_M1-10	12	#024e5b	Periwe_gha_LMG_24286
Fructobacillus_papyrifericola	Fructobacillus	papyrifericola	NA	M1-21	MT026983	Fructobacillus papyrifericola	NA	HE	LPSN	Fructo_pap_M1-21	12	#024e5b	Periwe_gha_LMG_24286
Fructobacillus_parabroussonetiae	Fructobacillus	parabroussonetiae	NA	S1-1	MT026985	Fructobacillus parabroussonetiae	NA	HE	LPSN	Fructo_par_S1-1	12	#024e5b	Periwe_gha_LMG_24286
Fructobacillus_pseudoficulneus	Fructobacillus	pseudoficulneus	NA	strain_LC_51	AY169967	Fructobacillus pseudoficulneus	NA	HE	LPSN	Fructo_pse_strain_LC_51	12	#024e5b	Periwe_gha_LMG_24286
Fructobacillus_tropaeoli	Fructobacillus	tropaeoli	NA	F214-1	AB542054	Fructobacillus tropaeoli	NA	HE	LPSN	Fructo_tro_F214-1	12	#024e5b	Periwe_gha_LMG_24286
Furfurilactobacillus_curtus	Furfurilactobacillus	curtus	NA	VTT_E-94560	LC093898	Furfurilactobacillus curtus	Unknown	HE	LPSN	Furfur_cur_VTT_E-94560	3	#FF3232	Lactip_pla_pla_DSMZ_20174
Furfurilactobacillus_rossiae	Furfurilactobacillus	rossiae	NA	CS1	AJ564009	Furfurilactobacillus rossiae	Unknown	HE	LPSN	Furfur_ros_CS1	3	#FF3232	Lactip_pla_pla_DSMZ_20174
Furfurilactobacillus_siliginis	Furfurilactobacillus	siliginis	NA	NBRC_101315	AB370882	Furfurilactobacillus siliginis	Unknown	HE	LPSN	Furfur_sil_NBRC_101315	3	#FF3232	Lactip_pla_pla_DSMZ_20174
Holzapfelia_floricola	Holzapfelia	floricola	NA	Ryu1-2	AB523780	Holzapfelia floricola	Unknown	HO	LPSN	Holzap_flo_Ryu1-2	9	#006628	Lactob_del_bul_DSM20081(T)
Lacticaseibacillus_absianus	Lacticaseibacillus	absianus	NA	YH-lac23	MT009028	Lacticaseibacillus absianus	NA	HO	LPSN	Lactic_abs_YH-lac23	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_baoqingensis	Lacticaseibacillus	baoqingensis	NA	47-3	MK110840	Lacticaseibacillus baoqingensis	Unknown	HO	LPSN	Lactic_bao_47-3	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_brantae	Lacticaseibacillus	brantae	NA	SL1108	HQ022861	Lacticaseibacillus brantae	Unknown	HO	LPSN	Lactic_bra_SL1108	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_camelliae	Lacticaseibacillus	camelliae	NA	strain_MCH3-1	AB257864	Lacticaseibacillus camelliae	Unknown	HO	LPSN	Lactic_cam_strain_MCH3-1	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_casei	Lacticaseibacillus	casei	NA	DSMZ_20011	EF468100	Lacticaseibacillus casei	Nomadic	HO	refseq	Lactic_cas_DSMZ_20011	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_chiayiensis	Lacticaseibacillus	chiayiensis	NA	BCRC_81062	MF446960	Lacticaseibacillus chiayiensis	Unknown	HO	LPSN	Lactic_chi_BCRC_81062	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_daqingensis	Lacticaseibacillus	daqingensis	NA	143-4(a)	MK110842	Lacticaseibacillus daqingensis	Unknown	HO	LPSN	Lactic_daq_143-4(a)	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_hegangensis	Lacticaseibacillus	hegangensis	NA	73-4	MK110833	Lacticaseibacillus hegangensis	Unknown	HO	LPSN	Lactic_heg_73-4	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_hulanensis	Lacticaseibacillus	hulanensis	NA	ZW163	LC436604	Lacticaseibacillus hulanensis	Free Living	HO	LPSN	Lactic_hul_ZW163	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_jixianensis	Lacticaseibacillus	jixianensis	NA	159-4	MK110836	Lacticaseibacillus jixianensis	Unknown	HO	LPSN	Lactic_jix_159-4	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_manihotivorans	Lacticaseibacillus	manihotivorans	NA	JCM_12514	AB289202	Lacticaseibacillus manihotivorans	Unknown	HO	refseq	Lactic_man_JCM_12514	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_mingshuiensis	Lacticaseibacillus	mingshuiensis	NA	117-1	LC597586	Lacticaseibacillus mingshuiensis	NA	HO	LPSN	Lactic_min_117-1	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_nasuensis	Lacticaseibacillus	nasuensis	NA	SU_18	AB608051	Lacticaseibacillus nasuensis	Unknown	HO	LPSN	Lactic_nas_SU_18	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_pantheris	Lacticaseibacillus	pantheris	NA	JCM_12539	AB289209	Lacticaseibacillus pantheris	Unknown	HO	refseq	Lactic_pan_JCM_12539	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_paracasei_subsp._paracasei	Lacticaseibacillus	paracasei	paracasei	JCM_8130	AB289225	Lacticaseibacillus paracasei paracasei	Nomadic	HO	refseq	Lactic_par_par_JCM_8130	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_paracasei_subsp._tolerans	Lacticaseibacillus	paracasei	tolerans	JCM_1171	AB289229	Lacticaseibacillus paracasei tolerans	Nomadic	HO	genbank	Lactic_par_tol_JCM_1171	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_porcinae	Lacticaseibacillus	porcinae	NA	R-42633	HE616585	Lacticaseibacillus porcinae	Unknown	HO	LPSN	Lactic_por_R-42633	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_rhamnosus	Lacticaseibacillus	rhamnosus	NA	ATCC_7469	AF429485	Lacticaseibacillus rhamnosus	Nomadic	HO	refseq	Lactic_rha_ATCC_7469	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_saniviri	Lacticaseibacillus	saniviri	NA	YIT_12363	AB602569	Lacticaseibacillus saniviri	Unknown	HO	LPSN	Lactic_san_YIT_12363	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_sharpeae	Lacticaseibacillus	sharpeae	NA	JCM_1186	AB289301	Lacticaseibacillus sharpeae	Unknown	HO	refseq	Lactic_sha_JCM_1186	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_songhuajiangensis	Lacticaseibacillus	songhuajiangensis	NA	Jul-19	HF679038	Lacticaseibacillus songhuajiangensis	Unknown	HO	LPSN	Lactic_son_7-19	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_suibinensis	Lacticaseibacillus	suibinensis	NA	247-3	MK110834	Lacticaseibacillus suibinensis	Unknown	HO	LPSN	Lactic_sui_247-3	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_suilingensis	Lacticaseibacillus	suilingensis	NA	ZW152	LC597590	Lacticaseibacillus suilingensis	NA	HO	LPSN	Lactic_sui_ZW152	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_thailandensis	Lacticaseibacillus	thailandensis	NA	MCH5-2	AB257863	Lacticaseibacillus thailandensis	Unknown	HO	LPSN	Lactic_tha_MCH5-2	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_yichunensis	Lacticaseibacillus	yichunensis	NA	33-1	MK110845	Lacticaseibacillus yichunensis	Unknown	HO	LPSN	Lactic_yic_33-1	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_zeae	Lacticaseibacillus	zeae	NA	ATCC_15820	AF429522	Lacticaseibacillus zeae	NA	HO	refseq	Lactic_zeaeATCC_15820	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lacticaseibacillus_zhaodongensis	Lacticaseibacillus	zhaodongensis	NA	1206-1	LC508979	Lacticaseibacillus zhaodongensis	NA	HO	LPSN	Lactic_zha_1206-1	6	#e2d438	Lactip_pla_pla_DSMZ_20174
Lactiplantibacillus_argentoratensis	Lactiplantibacillus	argentoratensis	NA	DK0_22	AJ640078	Lactiplantibacillus argentoratensis	Nomadic	HO	LPSN	Lactip_arg_DK0_22	2	#660000	Levila_bre_DSMZ_20054
Lactiplantibacillus_daoliensis	Lactiplantibacillus	daoliensis	NA	116-1A	LC438516	Lactiplantibacillus daoliensis	Nomadic	HO	LPSN	Lactip_dao_116-1A	2	#660000	Levila_bre_DSMZ_20054
Lactiplantibacillus_daowaiensis	Lactiplantibacillus	daowaiensis	NA	203-3	LC438517	Lactiplantibacillus daowaiensis	Nomadic	HO	LPSN	Lactip_dao_203-3	2	#660000	Levila_bre_DSMZ_20054
Lactiplantibacillus_dongliensis	Lactiplantibacillus	dongliensis	NA	218-3	LC438518	Lactiplantibacillus dongliensis	Nomadic	HO	LPSN	Lactip_don_218-3	2	#660000	Levila_bre_DSMZ_20054
Lactiplantibacillus_fabifermentans	Lactiplantibacillus	fabifermentans	NA	DSM_21115	AB626075	Lactiplantibacillus fabifermentans	Nomadic	HO	LPSN	Lactip_fab_DSM_21115	2	#660000	Levila_bre_DSMZ_20054
Lactiplantibacillus_garii	Lactiplantibacillus	garii	NA	FI11369	MN817919	Lactiplantibacillus garii	NA	HO	LPSN	Lactip_gar_FI11369	2	#660000	Levila_bre_DSMZ_20054
Lactiplantibacillus_herbarum	Lactiplantibacillus	herbarum	NA	TCF032-E4	KR706503	Lactiplantibacillus herbarum	Nomadic	HO	LPSN	Lactip_her_TCF032-E4	2	#660000	Levila_bre_DSMZ_20054
Lactiplantibacillus_modestisalitolerans	Lactiplantibacillus	modestisalitolerans	NA	NB446	AB907192	Lactiplantibacillus modestisalitolerans	Nomadic	HO	LPSN	Lactip_mod_NB446	2	#660000	Levila_bre_DSMZ_20054
Lactiplantibacillus_mudanjiangensis	Lactiplantibacillus	mudanjiangensis	NA	11050	HF679037	Lactiplantibacillus mudanjiangensis	Nomadic	HO	LPSN	Lactip_mud_11050	2	#660000	Levila_bre_DSMZ_20054
Lactiplantibacillus_nangangensis	Lactiplantibacillus	nangangensis	NA	381-7	LC438520	Lactiplantibacillus nangangensis	Nomadic	HO	LPSN	Lactip_nan_381-7	2	#660000	Levila_bre_DSMZ_20054
Lactiplantibacillus_paraplantarum	Lactiplantibacillus	paraplantarum	NA	JCM_12533	AB289239	Lactiplantibacillus paraplantarum	Nomadic	HO	refseq	Lactip_par_JCM_12533	2	#660000	Levila_bre_DSMZ_20054
Lactiplantibacillus_pentosus	Lactiplantibacillus	pentosus	NA	JCM_1558	AB289240	Lactiplantibacillus pentosus	Nomadic	HO	refseq	Lactip_pen_JCM_1558	2	#660000	Levila_bre_DSMZ_20054
Lactiplantibacillus_pingfangensis	Lactiplantibacillus	pingfangensis	NA	382-1	LC438521	Lactiplantibacillus pingfangensis	Nomadic	HO	LPSN	Lactip_pin_382-1	2	#660000	Levila_bre_DSMZ_20054
Lactiplantibacillus_plajomi	Lactiplantibacillus	plajomi	NA	NB53	AB907190	Lactiplantibacillus plajomi	Nomadic	HO	LPSN	Lactip_pla_NB53	2	#660000	Levila_bre_DSMZ_20054
Lactiplantibacillus_plantarum_subsp._plantarum	Lactiplantibacillus	plantarum	plantarum	DSMZ_20174	EF468099	Lactiplantibacillus plantarum plantarum	Nomadic	HO	genbank	Lactip_pla_pla_DSMZ_20174	2	#660000	Levila_bre_DSMZ_20054
Lactiplantibacillus_songbeiensis	Lactiplantibacillus	songbeiensis	NA	398-2	LC438523	Lactiplantibacillus songbeiensis	Nomadic	HO	LPSN	Lactip_son_398-2	2	#660000	Levila_bre_DSMZ_20054
Lactiplantibacillus_xiangfangensis	Lactiplantibacillus	xiangfangensis	NA	3.1.1	HM443954	Lactiplantibacillus xiangfangensis	Nomadic	HO	LPSN	Lactip_xia_3.1.1	2	#660000	Levila_bre_DSMZ_20054
Lactobacillus_acetotolerans	Lactobacillus	acetotolerans	NA	ATCC_43578	AF429492	Lactobacillus acetotolerans	Vertebrate	HO	genbank	Lactob_ace_ATCC_43578	8	#00B200	Lapidi_con_JCM_14153
