id	new_id	new_species	new_genus	new_family
Lactobacillus salsicarnum	Companilactobacillus salsicarnum	Companilactobacillus salsicarnum	Companilactobacillus	Lactobacillaceae
Lactobacillus  suantsaicola	Companilactobacillus suantsaicola	Companilactobacillus suantsaicola	Companilactobacillus	Lactobacillaceae
Lactobacillus tucceti	Companilactobacillus tucceti	Companilactobacillus tucceti	Companilactobacillus	Lactobacillaceae
Lactobacillus versmoldensis	Companilactobacillus versmoldensis	Companilactobacillus versmoldensis	Companilactobacillus	Lactobacillaceae
Lactobacillus zhachilii	Companilactobacillus zhachilii	Companilactobacillus zhachilii	Companilactobacillus	Lactobacillaceae
Lactobacillus zhongbaensis	Companilactobacillus zhongbaensis	Companilactobacillus zhongbaensis	Companilactobacillus	Lactobacillaceae
Lactobacillus algidus	Dellaglioa algida	Dellaglioa algida	Dellaglioa	Lactobacillaceae
Lactobacillus florum	Fructilactobacillus florum	Fructilactobacillus florum	Fructilactobacillus	Lactobacillaceae
Lactobacillus fructivorans	Fructilactobacillus fructivorans	Fructilactobacillus fructivorans	Fructilactobacillus	Lactobacillaceae
Lactobacillus ixorae	Fructilactobacillus ixorae	Fructilactobacillus ixorae	Fructilactobacillus	Lactobacillaceae
Lactobacillus lindneri	Fructilactobacillus lindneri	Fructilactobacillus lindneri	Fructilactobacillus	Lactobacillaceae
Lactobacillus sanfranciscensis	Fructilactobacillus sanfranciscensis	Fructilactobacillus sanfranciscensis	Fructilactobacillus	Lactobacillaceae
Lactobacillus vespulae	Fructilactobacillus vespulae	Fructilactobacillus vespulae	Fructilactobacillus	Lactobacillaceae
Lactobacillus curtus	Furfurilactobacillus curtus	Furfurilactobacillus curtus	Furfurilactobacillus	Lactobacillaceae
Lactobacillus rossiae	Furfurilactobacillus rossiae	Furfurilactobacillus rossiae	Furfurilactobacillus	Lactobacillaceae
Lactobacillus siliginis	Furfurilactobacillus siliginis	Furfurilactobacillus siliginis	Furfurilactobacillus	Lactobacillaceae
Lactobacillus floricola	Holzapfelia floricola	Holzapfelia floricola	Holzapfelia	Lactobacillaceae
Lactobacillus baoqingensis	Lacticaseibacillus baoqingensis	Lacticaseibacillus baoqingensis	Lacticaseibacillus	Lactobacillaceae
Lactobacillus brantae	Lacticaseibacillus brantae	Lacticaseibacillus brantae	Lacticaseibacillus	Lactobacillaceae
Lactobacillus camelliae	Lacticaseibacillus camelliae	Lacticaseibacillus camelliae	Lacticaseibacillus	Lactobacillaceae
Lactobacillus casei	Lacticaseibacillus casei	Lacticaseibacillus casei	Lacticaseibacillus	Lactobacillaceae
Lactobacillus chiayiensis	Lacticaseibacillus chiayiensis	Lacticaseibacillus chiayiensis	Lacticaseibacillus	Lactobacillaceae
Lactobacillus daqingensis	Lacticaseibacillus daqingensis	Lacticaseibacillus daqingensis	Lacticaseibacillus	Lactobacillaceae
Lactobacillus hegangensis	Lacticaseibacillus hegangensis	Lacticaseibacillus hegangensis	Lacticaseibacillus	Lactobacillaceae
Lactobacillus hulanensis	Lacticaseibacillus hulanensis	Lacticaseibacillus hulanensis	Lacticaseibacillus	Lactobacillaceae
Lactobacillus  jixianensis	Lacticaseibacillus jixianensis	Lacticaseibacillus jixianensis	Lacticaseibacillus	Lactobacillaceae
Lactobacillus manihotivorans	Lacticaseibacillus manihotivorans	Lacticaseibacillus manihotivorans	Lacticaseibacillus	Lactobacillaceae
Lactobacillus nasuensis	Lacticaseibacillus nasuensis	Lacticaseibacillus nasuensis	Lacticaseibacillus	Lactobacillaceae
Lactobacillus pantheris	Lacticaseibacillus pantheris	Lacticaseibacillus pantheris	Lacticaseibacillus	Lactobacillaceae
Lactobacillus paracasei	Lacticaseibacillus paracasei paracasei	Lacticaseibacillus paracasei paracasei	Lacticaseibacillus	Lactobacillaceae
Lactobacillus porcinae	Lacticaseibacillus porcinae	Lacticaseibacillus porcinae	Lacticaseibacillus	Lactobacillaceae
Lactobacillus rhamnosus	Lacticaseibacillus rhamnosus	Lacticaseibacillus rhamnosus	Lacticaseibacillus	Lactobacillaceae
Lactobacillus saniviri	Lacticaseibacillus saniviri	Lacticaseibacillus saniviri	Lacticaseibacillus	Lactobacillaceae
Lactobacillus sharpeae	Lacticaseibacillus sharpeae	Lacticaseibacillus sharpeae	Lacticaseibacillus	Lactobacillaceae
Lactobacillus songhuajiangensis	Lacticaseibacillus songhuajiangensis	Lacticaseibacillus songhuajiangensis	Lacticaseibacillus	Lactobacillaceae
Lactobacillus suibinensis	Lacticaseibacillus suibinensis	Lacticaseibacillus suibinensis	Lacticaseibacillus	Lactobacillaceae
Lactobacillus thailandensis	Lacticaseibacillus thailandensis	Lacticaseibacillus thailandensis	Lacticaseibacillus	Lactobacillaceae
Lactobacillus yichunensis	Lacticaseibacillus yichunensis	Lacticaseibacillus yichunensis	Lacticaseibacillus	Lactobacillaceae
Lactobacillus zeae	Lacticaseibacillus zeae	Lacticaseibacillus zeae	Lacticaseibacillus	Lactobacillaceae
Lactobacillus zhaodongensis	Lacticaseibacillus zhaodongensis	Lacticaseibacillus zhaodongensis	Lacticaseibacillus	Lactobacillaceae
Lactobacillus argentoratensis	Lactiplantibacillus argentoratensis	Lactiplantibacillus argentoratensis	Lactiplantibacillus	Lactobacillaceae
Lactobacillus daoliensis	Lactiplantibacillus daoliensis	Lactiplantibacillus daoliensis	Lactiplantibacillus	Lactobacillaceae
Lactobacillus daowaiensis	Lactiplantibacillus daowaiensis	Lactiplantibacillus daowaiensis	Lactiplantibacillus	Lactobacillaceae
Lactobacillus dongliensis	Lactiplantibacillus dongliensis	Lactiplantibacillus dongliensis	Lactiplantibacillus	Lactobacillaceae
Lactobacillus fabifermentans	Lactiplantibacillus fabifermentans	Lactiplantibacillus fabifermentans	Lactiplantibacillus	Lactobacillaceae
Lactobacillus garii	Lactiplantibacillus garii	Lactiplantibacillus garii	Lactiplantibacillus	Lactobacillaceae
Lactobacillus herbarum	Lactiplantibacillus herbarum	Lactiplantibacillus herbarum	Lactiplantibacillus	Lactobacillaceae
Lactobacillus modestisalitolerans	Lactiplantibacillus modestisalitolerans	Lactiplantibacillus modestisalitolerans	Lactiplantibacillus	Lactobacillaceae
Lactobacillus mudanjiangensis	Lactiplantibacillus mudanjiangensis	Lactiplantibacillus mudanjiangensis	Lactiplantibacillus	Lactobacillaceae
Lactobacillus nangangensis	Lactiplantibacillus nangangensis	Lactiplantibacillus nangangensis	Lactiplantibacillus	Lactobacillaceae
Lactobacillus paraplantarum	Lactiplantibacillus paraplantarum	Lactiplantibacillus paraplantarum	Lactiplantibacillus	Lactobacillaceae
Lactobacillus pentosus	Lactiplantibacillus pentosus	Lactiplantibacillus pentosus	Lactiplantibacillus	Lactobacillaceae
Lactobacillus pingfangensis	Lactiplantibacillus pingfangensis	Lactiplantibacillus pingfangensis	Lactiplantibacillus	Lactobacillaceae
Lactobacillus plajomi	Lactiplantibacillus plajomi	Lactiplantibacillus plajomi	Lactiplantibacillus	Lactobacillaceae
Lactobacillus plantarum	Lactiplantibacillus plantarum plantarum	Lactiplantibacillus plantarum plantarum	Lactiplantibacillus	Lactobacillaceae
Lactobacillus songbeiensis	Lactiplantibacillus songbeiensis	Lactiplantibacillus songbeiensis	Lactiplantibacillus	Lactobacillaceae
Lactobacillus xiangfangensis	Lactiplantibacillus xiangfangensis	Lactiplantibacillus xiangfangensis	Lactiplantibacillus	Lactobacillaceae
Lactobacillus acetotolerans	Lactobacillus acetotolerans	Lactobacillus acetotolerans	Lactobacillus	Lactobacillaceae
Lactobacillus acidophilus	Lactobacillus acidophilus	Lactobacillus acidophilus	Lactobacillus	Lactobacillaceae
Lactobacillus amylolyticus	Lactobacillus amylolyticus	Lactobacillus amylolyticus	Lactobacillus	Lactobacillaceae
Lactobacillus amylovorus	Lactobacillus amylovorus	Lactobacillus amylovorus	Lactobacillus	Lactobacillaceae
Lactobacillus apis	Lactobacillus apis	Lactobacillus apis	Lactobacillus	Lactobacillaceae
Lactobacillus bombicola	Lactobacillus bombicola	Lactobacillus bombicola	Lactobacillus	Lactobacillaceae
Lactobacillus colini	Lactobacillus colini	Lactobacillus colini	Lactobacillus	Lactobacillaceae
Lactobacillus crispatus	Lactobacillus crispatus	Lactobacillus crispatus	Lactobacillus	Lactobacillaceae
Lactobacillus delbrueckii	Lactobacillus delbrueckii	Lactobacillus delbrueckii	Lactobacillus	Lactobacillaceae
Lactobacillus equicursoris	Lactobacillus equicursoris	Lactobacillus equicursoris	Lactobacillus	Lactobacillaceae
Lactobacillus fornicalis	Lactobacillus fornicalis	Lactobacillus fornicalis	Lactobacillus	Lactobacillaceae
Lactobacillus gallinarum	Lactobacillus gallinarum	Lactobacillus gallinarum	Lactobacillus	Lactobacillaceae
Lactobacillus gasseri	Lactobacillus gasseri	Lactobacillus gasseri	Lactobacillus	Lactobacillaceae
Lactobacillus gigeriorum	Lactobacillus gigeriorum	Lactobacillus gigeriorum	Lactobacillus	Lactobacillaceae
Lactobacillus hamsteri	Lactobacillus hamsteri	Lactobacillus hamsteri	Lactobacillus	Lactobacillaceae
Lactobacillus helsingborgensis	Lactobacillus helsingborgensis	Lactobacillus helsingborgensis	Lactobacillus	Lactobacillaceae
Lactobacillus helveticus	Lactobacillus helveticus	Lactobacillus helveticus	Lactobacillus	Lactobacillaceae
Lactobacillus hominis	Lactobacillus hominis	Lactobacillus hominis	Lactobacillus	Lactobacillaceae
Lactobacillus iners	Lactobacillus iners	Lactobacillus iners	Lactobacillus	Lactobacillaceae
Lactobacillus intestinalis	Lactobacillus intestinalis	Lactobacillus intestinalis	Lactobacillus	Lactobacillaceae
Lactobacillus jensenii	Lactobacillus jensenii	Lactobacillus jensenii	Lactobacillus	Lactobacillaceae
Lactobacillus johnsonii	Lactobacillus johnsonii	Lactobacillus johnsonii	Lactobacillus	Lactobacillaceae
Lactobacillus kalixensis	Lactobacillus kalixensis	Lactobacillus kalixensis	Lactobacillus	Lactobacillaceae
Lactobacillus kefiranofaciens 	Lactobacillus kefiranofaciens	Lactobacillus kefiranofaciens	Lactobacillus	Lactobacillaceae
Lactobacillus kimbladii	Lactobacillus kimbladii	Lactobacillus kimbladii	Lactobacillus	Lactobacillaceae
Lactobacillus kitasatonis	Lactobacillus kitasatonis	Lactobacillus kitasatonis	Lactobacillus	Lactobacillaceae
Lactobacillus kullabergensis	Lactobacillus kullabergensis	Lactobacillus kullabergensis	Lactobacillus	Lactobacillaceae
Lactobacillus melliventris	Lactobacillus melliventris	Lactobacillus melliventris	Lactobacillus	Lactobacillaceae
Lactobacillus mulieris	Lactobacillus mulieris	Lactobacillus mulieris	Lactobacillus	Lactobacillaceae
Lactobacillus panisapium	Lactobacillus panisapium	Lactobacillus panisapium	Lactobacillus	Lactobacillaceae
Lactobacillus  paragasseri	Lactobacillus paragasseri	Lactobacillus paragasseri	Lactobacillus	Lactobacillaceae
Lactobacillus pasteurii	Lactobacillus pasteurii	Lactobacillus pasteurii	Lactobacillus	Lactobacillaceae
Lactobacillus porci	Lactobacillus porci	Lactobacillus porci	Lactobacillus	Lactobacillaceae
Lactobacillus psittaci	Lactobacillus psittaci	Lactobacillus psittaci	Lactobacillus	Lactobacillaceae
Lactobacillus rodentium 	Lactobacillus rodentium 	Lactobacillus rodentium 	Lactobacillus	Lactobacillaceae
Lactobacillus taiwanensis	Lactobacillus taiwanensis	Lactobacillus taiwanensis	Lactobacillus	Lactobacillaceae
Lactobacillus ultunensis	Lactobacillus ultunensis	Lactobacillus ultunensis	Lactobacillus	Lactobacillaceae
Lactobacillus xujianguonis	Lactobacillus xujianguonis	Lactobacillus xujianguonis	Lactobacillus	Lactobacillaceae
Lactobacillus achengensis	Lapidilactobacillus achengensis	Lapidilactobacillus achengensis	Lapidilactobacillus	Lactobacillaceae
Lactobacillus bayanensis	Lapidilactobacillus bayanensis	Lapidilactobacillus bayanensis	Lapidilactobacillus	Lactobacillaceae
Lactobacillus concavus	Lapidilactobacillus concavus	Lapidilactobacillus concavus	Lapidilactobacillus	Lactobacillaceae
Lactobacillus dextrinicus	Lapidilactobacillus dextrinicus	Lapidilactobacillus dextrinicus	Lapidilactobacillus	Lactobacillaceae
Lactobacillus gannanensis	Lapidilactobacillus gannanensis	Lapidilactobacillus gannanensis	Lapidilactobacillus	Lactobacillaceae
Lactobacillus mulanensis	Lapidilactobacillus mulanensis	Lapidilactobacillus mulanensis	Lapidilactobacillus	Lactobacillaceae
Lactobacillus wuchangensis	Lapidilactobacillus wuchangensis	Lapidilactobacillus wuchangensis	Lapidilactobacillus	Lactobacillaceae
Lactobacillus curvatus	Latilactobacillus curvatus	Latilactobacillus curvatus	Latilactobacillus	Lactobacillaceae
Lactobacillus fuchuensis	Latilactobacillus fuchuensis	Latilactobacillus fuchuensis	Latilactobacillus	Lactobacillaceae
Lactobacillus graminis	Latilactobacillus graminis	Latilactobacillus graminis	Latilactobacillus	Lactobacillaceae
Lactobacillus sakei	Latilactobacillus sakei carnosus	Latilactobacillus sakei carnosus	Latilactobacillus	Lactobacillaceae
Lactobacillus buchneri	Lentilactobacillus buchneri buchneri	Lentilactobacillus buchneri buchneri	Lentilactobacillus	Lactobacillaceae
Lactobacillus curieae	Lentilactobacillus curieae	Lentilactobacillus curieae	Lentilactobacillus	Lactobacillaceae
Lactobacillus diolivorans	Lentilactobacillus diolivorans	Lentilactobacillus diolivorans	Lentilactobacillus	Lactobacillaceae
Lactobacillus farraginis	Lentilactobacillus farraginis	Lentilactobacillus farraginis	Lentilactobacillus	Lactobacillaceae
Lactobacillus hilgardii	Lentilactobacillus hilgardii	Lentilactobacillus hilgardii	Lentilactobacillus	Lactobacillaceae
Lactobacillus kefiri	Lentilactobacillus kefiri	Lentilactobacillus kefiri	Lentilactobacillus	Lactobacillaceae
Lactobacillus kisonensis	Lentilactobacillus kisonensis	Lentilactobacillus kisonensis	Lentilactobacillus	Lactobacillaceae
Lentilactobacillus kribbianus	Lentilactobacillus kribbianus	Lentilactobacillus kribbianus	Lentilactobacillus	Lactobacillaceae
Lactobacillus otakiensis	Lentilactobacillus otakiensis	Lentilactobacillus otakiensis	Lentilactobacillus	Lactobacillaceae
Lactobacillus parabuchneri	Lentilactobacillus parabuchneri	Lentilactobacillus parabuchneri	Lentilactobacillus	Lactobacillaceae
Lactobacillus parafarraginis	Lentilactobacillus parafarraginis	Lentilactobacillus parafarraginis	Lentilactobacillus	Lactobacillaceae
Lactobacillus parakefiri	Lentilactobacillus parakefiri	Lentilactobacillus parakefiri	Lentilactobacillus	Lactobacillaceae
Lactobacillus raoultii	Lentilactobacillus raoultii	Lentilactobacillus raoultii	Lentilactobacillus	Lactobacillaceae
Lactobacillus rapi	Lentilactobacillus rapi	Lentilactobacillus rapi	Lentilactobacillus	Lactobacillaceae
Lactobacillus senioris	Lentilactobacillus senioris	Lentilactobacillus senioris	Lentilactobacillus	Lactobacillaceae
Lactobacillus sunkii	Lentilactobacillus sunkii	Lentilactobacillus sunkii	Lentilactobacillus	Lactobacillaceae
Lactobacillus acidifarinae	Levilactobacillus acidifarinae	Levilactobacillus acidifarinae	Levilactobacillus	Lactobacillaceae
Lactobacillus angrenensis	Levilactobacillus angrenensis	Levilactobacillus angrenensis	Levilactobacillus	Lactobacillaceae
Lactobacillus bambusae	Levilactobacillus bambusae	Levilactobacillus bambusae	Levilactobacillus	Lactobacillaceae
Lactobacillus brevis	Levilactobacillus brevis	Levilactobacillus brevis	Levilactobacillus	Lactobacillaceae
Lactobacillus cerevisiae	Levilactobacillus cerevisiae	Levilactobacillus cerevisiae	Levilactobacillus	Lactobacillaceae
Lactobacillus enshiensis	Levilactobacillus enshinensis	Levilactobacillus enshinensis	Levilactobacillus	Lactobacillaceae
Lactobacillus fujinensis	Levilactobacillus fujinensis	Levilactobacillus fujinensis	Levilactobacillus	Lactobacillaceae
Lactobacillus fuyuanensis	Levilactobacillus fuyuanensis	Levilactobacillus fuyuanensis	Levilactobacillus	Lactobacillaceae
Lactobacillus hammesii	Levilactobacillus hammesii	Levilactobacillus hammesii	Levilactobacillus	Lactobacillaceae
Lactobacillus huananensis	Levilactobacillus huananensis	Levilactobacillus huananensis	Levilactobacillus	Lactobacillaceae
Lactobacillus koreensis	Levilactobacillus koreensis	Levilactobacillus koreensis	Levilactobacillus	Lactobacillaceae
Lactobacillus lindianensis	Levilactobacillus lindianensis	Levilactobacillus lindianensis	Levilactobacillus	Lactobacillaceae
Lactobacillus mulengensis	Levilactobacillus mulengensis	Levilactobacillus mulengensis	Levilactobacillus	Lactobacillaceae
Lactobacillus namurensis	Levilactobacillus namurensis	Levilactobacillus namurensis	Levilactobacillus	Lactobacillaceae
Lactobacillus parabrevis	Levilactobacillus parabrevis	Levilactobacillus parabrevis	Levilactobacillus	Lactobacillaceae
Lactobacillus paucivorans	Levilactobacillus paucivorans	Levilactobacillus paucivorans	Levilactobacillus	Lactobacillaceae
Lactobacillus senmaizukei	Levilactobacillus senmaizukei	Levilactobacillus senmaizukei	Levilactobacillus	Lactobacillaceae
Lactobacillus spicheri	Levilactobacillus spicheri	Levilactobacillus spicheri	Levilactobacillus	Lactobacillaceae
Lactobacillus suantsaii	Levilactobacillus suantsaii	Levilactobacillus suantsaii	Levilactobacillus	Lactobacillaceae
Lactobacillus suantsaiihabitans	Levilactobacillus suantsaiihabitans	Levilactobacillus suantsaiihabitans	Levilactobacillus	Lactobacillaceae
Lactobacillus tangyuanensis	Levilactobacillus tangyuanensis	Levilactobacillus tangyuanensis	Levilactobacillus	Lactobacillaceae
Lactobacillus tongjiangensis	Levilactobacillus tongjiangensis	Levilactobacillus tongjiangensis	Levilactobacillus	Lactobacillaceae
Lactobacillus yonginensis	Levilactobacillus yonginensis	Levilactobacillus yonginensis	Levilactobacillus	Lactobacillaceae
Lactobacillus zymae	Levilactobacillus zymae	Levilactobacillus zymae	Levilactobacillus	Lactobacillaceae
Lactobacillus acidipiscis	Ligilactobacillus acidipiscis	Ligilactobacillus acidipiscis	Ligilactobacillus	Lactobacillaceae
Lactobacillus agilis	Ligilactobacillus agilis	Ligilactobacillus agilis	Ligilactobacillus	Lactobacillaceae
Lactobacillus animalis	Ligilactobacillus animalis	Ligilactobacillus animalis	Ligilactobacillus	Lactobacillaceae
Lactobacillus apodemi	Ligilactobacillus apodemi	Ligilactobacillus apodemi	Ligilactobacillus	Lactobacillaceae
Lactobacillus araffinosus	Ligilactobacillus araffinosus	Ligilactobacillus araffinosus	Ligilactobacillus	Lactobacillaceae
Lactobacillus aviarius	Ligilactobacillus aviarius	Ligilactobacillus aviarius	Ligilactobacillus	Lactobacillaceae
Lactobacillus ceti	Ligilactobacillus ceti	Ligilactobacillus ceti	Ligilactobacillus	Lactobacillaceae
Lactobacillus equi	Ligilactobacillus equi	Ligilactobacillus equi	Ligilactobacillus	Lactobacillaceae
Lactobacillus faecis	Ligilactobacillus faecis	Ligilactobacillus faecis	Ligilactobacillus	Lactobacillaceae
Lactobacillus hayakitensis	Ligilactobacillus hayakitensis	Ligilactobacillus hayakitensis	Ligilactobacillus	Lactobacillaceae
Lactobacillus murinus	Ligilactobacillus murinus	Ligilactobacillus murinus	Ligilactobacillus	Lactobacillaceae
Lactobacillus pobuzihii	Ligilactobacillus pobuzihii	Ligilactobacillus pobuzihii	Ligilactobacillus	Lactobacillaceae
Lactobacillus ruminis	Ligilactobacillus ruminis	Ligilactobacillus ruminis	Ligilactobacillus	Lactobacillaceae
Lactobacillus saerimneri	Ligilactobacillus saerimneri	Ligilactobacillus saerimneri	Ligilactobacillus	Lactobacillaceae
Lactobacillus salitolerans	Ligilactobacillus salitolerans	Ligilactobacillus salitolerans	Ligilactobacillus	Lactobacillaceae
Lactobacillus salivarius	Ligilactobacillus salivarius	Ligilactobacillus salivarius	Ligilactobacillus	Lactobacillaceae
Lactobacillus alvi	Limosilactobacillus alvi	Limosilactobacillus alvi	Limosilactobacillus	Lactobacillaceae
Lactobacillus antri	Limosilactobacillus antri	Limosilactobacillus antri	Limosilactobacillus	Lactobacillaceae
Lactobacillus caviae	Limosilactobacillus caviae	Limosilactobacillus caviae	Limosilactobacillus	Lactobacillaceae
Lactobacillus coleohominis	Limosilactobacillus coleohominis	Limosilactobacillus coleohominis	Limosilactobacillus	Lactobacillaceae
Lactobacillus equigenerosi	Limosilactobacillus equigenerosi	Limosilactobacillus equigenerosi	Limosilactobacillus	Lactobacillaceae
Lactobacillus fermentum	Limosilactobacillus fermentum	Limosilactobacillus fermentum	Limosilactobacillus	Lactobacillaceae
Lactobacillus frumenti	Limosilactobacillus frumenti	Limosilactobacillus frumenti	Limosilactobacillus	Lactobacillaceae
Lactobacillus gastricus	Limosilactobacillus gastricus	Limosilactobacillus gastricus	Limosilactobacillus	Lactobacillaceae
Lactobacillus gorillae	Limosilactobacillus gorillae	Limosilactobacillus gorillae	Limosilactobacillus	Lactobacillaceae
Lactobacillus ingluviei	Limosilactobacillus ingluviei	Limosilactobacillus ingluviei	Limosilactobacillus	Lactobacillaceae
Lactobacillus mucosae	Limosilactobacillus mucosae	Limosilactobacillus mucosae	Limosilactobacillus	Lactobacillaceae
Lactobacillus oris	Limosilactobacillus oris	Limosilactobacillus oris	Limosilactobacillus	Lactobacillaceae
Lactobacillus panis	Limosilactobacillus panis	Limosilactobacillus panis	Limosilactobacillus	Lactobacillaceae
Lactobacillus pontis	Limosilactobacillus pontis	Limosilactobacillus pontis	Limosilactobacillus	Lactobacillaceae
Lactobacillus reuteri	Limosilactobacillus reuteri	Limosilactobacillus reuteri	Limosilactobacillus	Lactobacillaceae
Lactobacillus secaliphilus	Limosilactobacillus secaliphilus	Limosilactobacillus secaliphilus	Limosilactobacillus	Lactobacillaceae
Lactobacillus vaginalis	Limosilactobacillus vaginalis	Limosilactobacillus vaginalis	Limosilactobacillus	Lactobacillaceae
Lactobacillus aquaticus	Liquorilactobacillus aquaticus	Liquorilactobacillus aquaticus	Liquorilactobacillus	Lactobacillaceae
Lactobacillus cacaonum	Liquorilactobacillus cacaonum	Liquorilactobacillus cacaonum	Liquorilactobacillus	Lactobacillaceae
Lactobacillus capillatus	Liquorilactobacillus capillatus	Liquorilactobacillus capillatus	Liquorilactobacillus	Lactobacillaceae
Lactobacillus ghanensis	Liquorilactobacillus ghanensis	Liquorilactobacillus ghanensis	Liquorilactobacillus	Lactobacillaceae
Lactobacillus hordei	Liquorilactobacillus hordei	Liquorilactobacillus hordei	Liquorilactobacillus	Lactobacillaceae
Lactobacillus mali	Liquorilactobacillus mali	Liquorilactobacillus mali	Liquorilactobacillus	Lactobacillaceae
Lactobacillus nagelii	Liquorilactobacillus nagelii	Liquorilactobacillus nagelii	Liquorilactobacillus	Lactobacillaceae
